region,type,amount,ind,date
16,5,0,2,2018-06-01
16,5,0,2,2018-05-01
23,2,0,2,2018-01-01
15,5,0,2,2018-06-01
15,5,0,2,2018-05-01
15,5,0,2,2018-04-01
15,5,0,2,2018-03-01
15,5,0,2,2018-02-01
15,5,0,2,2018-01-01
15,5,0,2,2017-08-01
15,5,0,2,2017-09-01
15,5,0,2,2017-10-01
15,5,0,2,2017-11-01
15,5,0,2,2017-12-01
16,5,0,2,2018-07-01
15,5,0,2,2018-07-01
22,5,0,2,2018-07-01
375,0,46945.5,1,2018-07-01
375,0,46251.8,1,2018-06-01
375,0,46074.5,1,2018-04-01
375,0,45528.3,1,2018-01-01
375,0,45141.2,1,2018-05-01
375,0,44232.3,1,2018-03-01
375,0,44190.8,1,2017-12-01
375,0,44174.4,1,2018-02-01
375,0,43079.6,1,2017-11-01
375,0,43050.5,1,2017-10-01
375,0,42588.2,1,2017-09-01
375,0,41619.8,1,2017-08-01
375,0,36739.1,5,2018-07-01
375,0,36371.5,5,2018-06-01
375,0,35437.4,5,2018-05-01
375,0,34950.2,5,2018-04-01
375,0,34136.6,5,2018-03-01
375,0,33947.6,5,2018-02-01
375,0,33481.7,5,2018-01-01
375,0,32873.2,5,2017-12-01
375,0,32442,5,2017-10-01
375,0,32430.7,5,2017-11-01
375,0,31775.5,5,2017-09-01
375,0,31631.4,5,2017-08-01
375,4,19821,1,2018-06-01
375,4,19754.2,1,2018-07-01
375,4,19738.2,1,2018-04-01
375,4,19253.8,5,2018-07-01
375,4,19225.7,1,2018-03-01
375,4,19180.8,1,2018-05-01
375,4,19139.5,1,2018-02-01
375,4,19076.7,5,2018-06-01
375,4,18946.1,1,2018-01-01
375,4,18472.4,5,2018-05-01
375,4,18270.4,1,2017-12-01
375,4,18262.7,5,2018-04-01
375,4,17988.5,5,2018-03-01
375,4,17948.1,5,2018-02-01
375,4,17622.9,1,2017-11-01
375,4,17568.1,1,2017-10-01
375,4,17443.4,1,2017-09-01
375,4,17331.2,5,2018-01-01
375,4,17330.8,5,2017-12-01
375,4,17226.6,1,2017-08-01
375,4,16933.5,5,2017-10-01
375,4,16866.2,5,2017-09-01
375,4,16848.6,5,2017-11-01
375,4,16737.9,5,2017-08-01
170,0,14405.9,1,2018-01-01
170,0,14201.8,1,2018-04-01
170,0,14154.8,1,2018-07-01
170,0,13935.1,5,2018-07-01
170,0,13743.9,5,2018-06-01
170,0,13707.3,1,2017-12-01
170,0,13670.5,1,2018-06-01
170,0,13651.1,5,2018-04-01
170,0,13537,5,2018-05-01
170,0,13408.2,5,2018-03-01
170,0,13372.1,1,2018-05-01
170,0,13331.7,5,2018-02-01
170,0,13247.8,1,2017-11-01
170,0,13218.3,5,2018-01-01
170,0,13205.7,1,2018-03-01
170,0,13202.4,1,2018-02-01
170,0,13087.7,1,2017-10-01
170,0,12904.1,1,2017-09-01
170,0,12636.7,5,2017-12-01
170,0,12431.9,1,2017-08-01
170,0,12404.5,5,2017-11-01
170,0,12277.5,5,2017-10-01
170,0,11884.6,5,2017-08-01
170,0,11812.7,5,2017-09-01
375,6,8204.8,1,2018-01-01
375,0,7995.1,6,2018-05-01
375,0,7977.4,6,2018-07-01
375,6,7945.9,1,2018-07-01
375,0,7942.5,6,2018-06-01
17,0,7870.6,1,2018-07-01
375,6,7790.2,1,2017-12-01
375,7,7771.5,1,2018-07-01
375,0,7750.4,6,2018-04-01
375,0,7706.1,6,2018-03-01
375,0,7703.4,2,2018-03-01
375,0,7698.1,2,2018-05-01
17,0,7695.1,1,2018-06-01
375,6,7684.7,1,2018-05-01
375,0,7679.3,2,2018-02-01
375,6,7677.3,1,2017-10-01
375,6,7675,1,2018-04-01
375,0,7630.1,2,2018-07-01
375,6,7628.7,1,2018-06-01
375,0,7615.4,2,2018-04-01
375,7,7589.4,1,2018-06-01
375,6,7580.4,1,2017-11-01
375,0,7573.9,2,2018-06-01
375,0,7494.5,6,2018-02-01
375,6,7486.1,1,2017-09-01
23,0,7474.1,1,2018-04-01
23,0,7416.3,1,2018-06-01
23,0,7399.9,1,2018-05-01
375,0,7394,2,2017-12-01
17,0,7360.8,1,2018-05-01
375,0,7331.8,2,2017-11-01
375,0,7330.9,2,2017-10-01
23,0,7327.4,1,2018-07-01
375,7,7325,1,2018-05-01
375,6,7319.6,1,2017-08-01
375,0,7319.1,6,2017-12-01
375,0,7303.7,6,2017-10-01
375,0,7262.7,6,2017-11-01
17,0,7236.5,1,2018-04-01
375,0,7229.8,2,2018-01-01
23,0,7222.3,1,2018-01-01
17,0,7210.4,1,2017-12-01
375,0,7208.9,6,2017-09-01
375,7,7195.9,1,2017-08-01
375,0,7175.2,6,2017-08-01
375,7,7163.2,1,2017-09-01
375,0,7148.6,2,2017-08-01
17,0,7136.4,1,2017-10-01
375,0,7136.2,2,2017-09-01
23,0,7115.9,1,2018-02-01
375,6,7104,1,2018-03-01
17,0,7098.4,1,2018-03-01
375,7,7097.5,1,2017-10-01
375,6,7081.4,1,2018-02-01
